transcript_id,gene_symbol,cell_type_of_origin,trait,timepoint,p_val_adj,avg_log2FC,canonical_status,tx_biotype
ENST00000286953,ATP5MJ,Apical Radial Glia (aRG) - Cycling,SCZ,1M,0.00187391364680035,-0.400223729629092,canonical,protein_coding
ENST00000265192,PAIP2,Preplate Neurons,SCZ,1M,0.00195521565906562,0.407690898524032,canonical,protein_coding
ENST00000586064,,Cortical Hem Cells,SCZ,1M,0.00199172226674808,1.74233695970799,canonical,retained_intron
ENST00000308748,ASPHD1,Apical Radial Glia (aRG),SCZ,1M,0.00199297871659267,-3.24170954749235,canonical,protein_coding
ENST00000598810,TEAD2,Deep Layer Projection Neurons,SCZ,1M,0.00240706489108316,-2.41462281261462,non-canonical,protein_coding
ENST00000660624,AP3B2,Deep Layer Projection Neurons,SCZ,1M,0.0026681495935187,1.27056648971643,non-canonical,protein_coding
ENST00000376630,HLA-E,Preplate Neurons,SCZ,1M,0.003056969952251,-2.14860470240277,canonical,protein_coding
ENST00000509627,C5orf49,Cortical Hem Cells,SCZ,1M,0.00313695446227262,2.30079348831454,non-canonical,protein_coding
ENST00000422774,KIAA1549,Cajal-Retzius Cells,SCZ,1M,0.00321611306634518,1.17235942557207,canonical,protein_coding
ENST00000564636,FANCI,Subcortical Progenitors,SCZ,1M,0.00492293156101627,4.67241234078133,non-canonical,retained_intron
ENST00000561030,LINGO1,Apical Radial Glia (aRG) - Cycling,SCZ,1M,0.00501947090546205,-3.25254937466033,non-canonical,protein_coding
ENST00000323588,PPM1M,Cortical Hem Cells,SCZ,1M,0.00708350103799831,3.07766749505823,canonical,protein_coding
ENST00000598810,TEAD2,Apical Radial Glia (aRG) - Cycling,SCZ,1M,0.00956995280215883,0.601865433311126,non-canonical,protein_coding
ENST00000286953,ATP5MJ,Apical Radial Glia (aRG),SCZ,1M,0.0102790569211069,-0.333281255183323,canonical,protein_coding
ENST00000274712,ZMAT2,Deep Layer Projection Neurons,SCZ,1M,0.0124451477094737,0.52235650069008,canonical,protein_coding
ENST00000265192,PAIP2,Radial Glia (Mixed),SCZ,1M,0.0130752873210171,-0.427845493372368,canonical,protein_coding
ENST00000291232,TNFRSF13C,Apical Radial Glia (aRG),SCZ,1M,0.0135685025712929,1.34856897936624,canonical,protein_coding
ENST00000342392,DIABLO,Apical Radial Glia (aRG) - Cycling,SCZ,1M,0.0143470698449354,0.727266511899679,non-canonical,nonsense_mediated_decay
ENST00000377918,PCDH17,Cajal-Retzius Cells,SCZ,1M,0.017447777617762,1.3494454926103,canonical,protein_coding
ENST00000308748,ASPHD1,Apical Radial Glia (aRG) - Cycling,SCZ,1M,0.0232207342024736,-4.03918767566057,canonical,protein_coding
ENST00000382044,TP53BP1,Radial Glia (Mixed),SCZ,1M,0.0307257679594088,-0.777610028570998,canonical,protein_coding
ENST00000561030,LINGO1,Apical Radial Glia (aRG),SCZ,1M,0.0325650014546611,-2.23529242974448,non-canonical,protein_coding
ENST00000564079,TUBGCP4,Preplate Neurons,SCZ,1M,0.0347127358961995,-0.968776553039566,canonical,protein_coding
ENST00000553286,KLC1,Deep Layer Projection Neurons,SCZ,1M,0.0356690487439856,0.891788817509402,non-canonical,protein_coding
ENST00000526986,ZDHHC24,Deep Layer Projection Neurons,SCZ,1M,0.0490499043025797,3.77879214203984,non-canonical,protein_coding
ENST00000392061,CEBPZOS,Cortical Hem Cells,SCZ,1M,0.0491128685279162,0.847210689733882,non-canonical,protein_coding
